name;group;mean;se;lb;ub;pvalue;sample
out_voice_alt;Baseline;0,309310243;0,038235061;0,229553303;0,389067184;7,64267E-06;690
out_voice_alt;Endline;0,680327869;0,061498899;0,552786959;0,807868779;7,64267E-06;690
out_voice_alt;Difference;0,371017625;0,072478618;0,224644087;0,517391164;7,64267E-06;690
out_voice_nr_alt;Baseline;0,922403083;0,232015766;0,438426677;1,40637949;0,00070529;654
out_voice_nr_alt;Endline;3,446428571;0,649464768;2,09952108;4,793336063;0,00070529;654
out_voice_nr_alt;Difference;2,524025488;0,688891131;1,132781625;3,915269351;0,00070529;654
out_r2fknowledge;Baseline;1,283738017;0,056554376;1,165767657;1,401708378;0,000887911;690
out_r2fknowledge;Endline;1,529371585;0,040402577;1,445581768;1,613161402;0,000887911;690
out_r2fknowledge;Difference;0,245633568;0,068514582;0,107265562;0,384001573;0,000887911;690
out_r2fknowledgeland;Baseline;1,455263785;0,080110372;1,288156477;1,622371093;5,56585E-06;690
out_r2fknowledgeland;Endline;1,942622951;0,049868544;1,839201921;2,046043981;5,56585E-06;690
out_r2fknowledgeland;Difference;0,487359166;0,093417041;0,298699624;0,676018708;5,56585E-06;690
out_r2fknowledgeforest;Baseline;1,399295736;0,078009108;1,236571588;1,562019884;0,005589143;689
out_r2fknowledgeforest;Endline;1,743801653;0,089581455;1,558021086;1,929582219;0,005589143;689
out_r2fknowledgeforest;Difference;0,344505917;0,117776227;0,106652002;0,582359833;0,005589143;689
out_r2fknowledgeseeds;Baseline;1,158813778;0,047468287;1,059796666;1,25783089;0,098312389;688
out_r2fknowledgeseeds;Endline;1,266666667;0,043735507;1,175964776;1,357368558;0,098312389;688
out_r2fknowledgeseeds;Difference;0,107852889;0,063758226;-0,020909461;0,236615238;0,098312389;688
out_r2fknowledgeinvest;Baseline;1,121578771;0,053593024;1,009785683;1,23337186;0,931571377;686
out_r2fknowledgeinvest;Endline;1,127118644;0,036899834;1,050593072;1,203644216;0,931571377;686
out_r2fknowledgeinvest;Difference;0,005539873;0,064121107;-0,12395533;0,135035076;0,931571377;686
